battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1501,0,1.1,0,12,1,2,0.2,187,1,15,198,1056,2487,13,12,16,1,1,1,2
1647,0,1.4,1,3,1,38,0.3,102,6,15,193,1185,2532,16,14,15,1,0,1,2
967,1,1.6,0,4,0,25,0.6,92,8,9,243,1642,3076,7,4,18,0,1,1,2
1442,0,2.2,0,0,1,56,0.7,145,5,3,1626,1668,1513,11,8,7,1,1,0,2
880,0,1.7,0,2,0,6,0.6,198,4,19,632,660,3006,6,4,3,1,0,0,2
1642,1,1.6,1,0,0,5,0.4,102,5,2,1686,1889,1333,18,0,2,0,0,1,2
1512,1,0.5,0,1,0,52,0.1,131,1,14,333,952,3002,6,5,7,0,0,1,2
1320,0,0.5,1,7,0,48,0.2,168,5,16,103,1583,2893,8,5,9,0,0,1,2
1788,1,0.5,1,15,1,2,0.3,150,6,20,472,1073,2655,12,2,4,1,0,1,2
787,1,0.5,0,15,0,11,0.6,93,1,16,806,1423,2934,8,6,14,1,0,1,2
854,0,0.5,0,2,0,30,0.5,125,8,5,518,1152,2889,5,2,11,0,0,1,2
1973,0,1.6,1,5,1,39,0.8,152,4,6,792,1181,1993,9,0,5,1,0,0,2
1438,1,1.8,0,3,0,16,0.6,169,8,7,859,867,2246,14,11,15,0,0,0,2
757,0,2.3,1,5,1,58,0.2,163,4,7,535,697,3237,19,12,9,1,0,1,2
767,0,0.8,0,7,1,10,0.5,107,4,12,517,1995,2317,6,0,12,1,1,1,2
994,1,2.8,1,0,0,56,0.5,173,3,3,491,530,3190,5,2,20,1,1,1,2
1550,1,2.5,0,6,0,21,0.8,133,2,11,268,832,2338,16,1,15,0,1,0,2
623,0,2.0,0,2,0,6,0.1,127,3,4,144,672,3657,17,3,19,1,1,0,2
1829,1,0.5,0,0,1,15,0.4,160,5,7,729,1267,2080,16,11,12,1,0,1,2
1065,1,0.5,0,0,1,14,0.7,89,2,2,188,928,3078,10,1,18,1,0,1,2
